2019-04-17T07:52:53.119,Registration965842399,1KM
2019-04-17T07:52:54.092,Registration351627447,1KM
2019-04-17T07:52:55.093,Registration1419550844,1KM
2019-04-17T07:52:57.596,Registration152818310,1KM
2019-04-17T07:52:59.098,Registration1593270978,1KM
2019-04-17T07:53:01.599,Registration1983978162,1KM
2019-04-17T07:53:02.352,Registration1542306877,1KM
2019-04-17T07:53:03.102,Registration1814094786,1KM
2019-04-17T07:53:04.104,Registration634999202,1KM
2019-04-17T07:53:05.103,Registration117093931,1KM
2019-04-17T07:53:06.604,Registration203028522,1KM
2019-04-17T07:53:07.856,Registration1542306877,1KM
2019-04-17T07:53:12.109,Registration1519381907,1KM
2019-04-17T07:53:13.111,Registration1853368079,1KM
2019-04-17T07:53:14.613,Registration877931594,1KM
2019-04-17T07:53:15.365,Registration1867628239,1KM
2019-04-17T07:53:16.115,Registration456293556,1KM
2019-04-17T07:53:16.867,Registration1430858300,1KM
2019-04-17T07:53:18.117,Registration699713456,1KM
2019-04-17T07:54:40.016,Registration93523711,1KM
2019-04-17T07:54:40.998,Registration1081849778,1KM
2019-04-17T07:54:42.250,Registration1478535225,1KM
2019-04-17T07:54:43.001,Registration1523244279,1KM
2019-04-17T07:54:46.504,Registration805826935,1KM
2019-04-17T07:57:39.624,Registration803319103,1KM
2019-04-17T07:57:43.110,Registration598510579,1KM
2019-04-17T07:57:45.111,Registration1505652225,1KM
2019-04-17T07:57:46.362,Registration357234175,1KM
2019-04-17T08:03:00.545,Registration693938509,1KM
2019-04-17T08:03:01.538,Registration1863202160,1KM
2019-04-17T08:03:05.042,Registration220246980,1KM
2019-04-17T08:03:06.043,Registration927688913,1KM
2019-04-17T08:03:06.794,Registration1885124729,1KM
2019-04-17T08:06:40.303,Registration257789111,1KM
2019-04-17T08:06:59.353,Registration1953084643,1KM
2019-04-17T08:07:03.591,Registration1742205863,1KM
2019-04-17T08:07:18.713,Registration1281911534,1KM
2019-04-17T08:07:36.542,Registration1894182888,1KM
